fetchTimestamp,ticker,longName,industry,sector,fullExchangeName,website,city,zip,marketCap,regularMarketTime,currentPrice,open,dayHigh,dayLow,volume,previousClose,regularMarketChange,regularMarketChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,allTimeHigh,allTimeLow,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekRange,averageVolume,averageDailyVolume10Day,averageDailyVolume3Month,floatShares,impliedSharesOutstanding,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,totalCash,totalCashPerShare,totalDebt,totalRevenue,revenuePerShare,returnOnAssets,returnOnEquity,grossProfits,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,bookValue,priceToBook,enterpriseValue,trailingPE,forwardPE,trailingEps,forwardEps,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,lastSplitFactor,enterpriseToRevenue,netIncomeToCommon,lastSplitDate,beta
2026-09-09T00:32:44.676828,SCI.NS,The Shipping Corporation of India Limited,Marine Shipping,Industrials,NSE,https://www.shipindia.com,Mumbai,400021,134499467264.0,1788861600.0,288.75,293.6,294.8,288.05,1261638.0,293.75,-5.0,-1.7021276,195.55,368.75,384.2,24.8,289.919,-1.1690063,-0.0040321825,267.3612,21.388794,0.07999962,93.2,0.47660443,-80.0,-0.21694915,195.55 - 368.75,3490188.0,2669547.0,3490188.0,167394097.0,465799010.0,465799010.0,0.63749003,0.06007,4349899776.0,9.341,26792499200.0,37089398784.0,79.609,,,8543000064.0,0.75,0.403,0.23034,0.12715,0.32518002,0.01102,195.37,1.4779649,156904570880.0,8.309353,87.5,34.75,3.3,7.5,2.55,1788480000.0,0.37669998,1.05,3:2,4.23,408900000.0,1225238400.0,
2026-09-09T00:32:44.676828,SAMMAANCAP.NS,Sammaan Capital Limited,Mortgage Finance,Financial Services,NSE,https://www.sammaancapital.com,Mumbai,400013,175749087232.0,1788861599.0,153.0,155.0,155.33,152.67,2522995.0,155.92,-2.9199982,-1.8727541,129.0,192.95,1283.5955,72.20225,160.026,-7.026001,-0.04390537,153.144,-0.14399719,-0.00094027317,24.0,0.18604651,-39.949997,-0.20704845,129.0 - 192.95,10181419.0,6558113.0,10181419.0,737130465.0,1148686844.0,1145673631.0,0.37050998,0.16635999,117314699264.0,102.705,518530695168.0,-12612299776.0,-14.073,,,-12612299776.0,-0.5,-0.245,0.0,0.0,0.52972,0.0,232.312,0.65859705,575980765184.0,,,-89.76,,,,1726790400.0,0.0,7.0,,-45.668,-72355602432.0,,0.587
2026-09-09T00:32:44.676828,CREDITACC.NS,CreditAccess Grameen Limited,Credit Services,Financial Services,NSE,https://www.creditaccessgrameen.in,Bengaluru,560070,227103784960.0,1788861590.0,1417.1,1425.0,1429.9,1392.5,105656.0,1427.2,-10.099976,-0.7076777,1113.0,1634.0,1796.0,242.05,1509.218,-92.11804,-0.061036933,1342.078,75.02197,0.05589986,304.09998,0.2732255,-216.90002,-0.13274175,1113.0 - 1634.0,367641.0,338841.0,367641.0,57510375.0,160259533.0,160259533.0,0.66117996,0.20705,21539899392.0,134.46,237519896576.0,30413699072.0,190.024,,0.16364999,29803599872.0,7.152,1.495,0.97994006,0.0,0.64591,0.39812002,489.541,2.8947525,442993803264.0,18.804405,10.956861,75.36,129.33449,,,1721952000.0,0.0,,,14.566,12108399616.0,,0.087
2026-09-09T00:32:44.676828,CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited,Credit Services,Financial Services,NSE,https://cholafhl.com,Chennai,600001,286585946112.0,1788861589.0,1526.2,1510.8,1533.3,1500.0,134028.0,1520.7,5.5,0.36167556,1305.0,2064.0,2231.6,4.442031,1574.628,-48.4281,-0.030755263,1634.5465,-108.34656,-0.066285394,221.19995,0.16950187,-537.80005,-0.26056203,1305.0 - 2064.0,170531.0,133660.0,170531.0,99377466.0,187777462.0,187777462.0,0.47050998,0.34085998,101760696320.0,541.922,2111249186816.0,224609206272.0,1196.117,,,169950003200.0,0.393,0.139,0.75665003,0.0,0.38779998,0.11882,823.003,1.8544282,2480332603392.0,10.733525,7.990576,142.19,191.0,1.3,0.09,1786060800.0,0.0091,0.07,5:1,11.043,26687500288.0,1149033600.0,0.401
2026-09-09T00:32:44.676828,GRAVITA.NS,Gravita India Limited,Metal Fabrication,Industrials,NSE,https://www.gravitaindia.com,Jaipur,302004,122533543936.0,1788861598.0,1682.3,1665.0,1690.0,1665.0,218701.0,1676.9,5.4000244,0.32202423,1266.9,1913.6,2700.0,15.1,1757.988,-75.68799,-0.043053757,1662.4305,19.869507,0.011952083,415.40002,0.32788697,-231.29993,-0.12087162,1266.9 - 1913.6,246963.0,186391.0,246963.0,29597152.0,72836912.0,72832753.0,0.59365004,0.10366999,5847600128.0,80.284,7359000064.0,47003901952.0,645.348,,,9020999680.0,0.14,0.418,0.19192,0.11387,0.09678,0.083380006,336.739,4.9958572,124112207872.0,31.25209,22.02084,53.83,76.39582,11.55,0.64,1746662400.0,0.0,1.05,5:1,2.64,3919300096.0,1337904000.0,0.475
2026-09-09T00:32:44.676828,HINDALCO.NS,Hindalco Industries Limited,Aluminum,Basic Materials,NSE,https://www.hindalco.com,Mumbai,400013,2239815745536.0,1788860699.0,1009.0,1014.0,1024.7,1007.5,3094047.0,1006.0,3.0,0.29821074,731.95,1176.0,1176.0,4.706867,997.437,11.562988,0.0115927,972.1715,36.82849,0.037882708,277.05,0.37850943,-167.0,-0.1420068,731.95 - 1176.0,5243253.0,2852586.0,5243253.0,1418897662.0,2219837078.0,2219837078.0,0.37572,0.40296,228049993728.0,102.733,991649988608.0,2955370037248.0,1331.035,,,925429989376.0,0.751,0.321,0.31314,0.14022,0.13668999,0.05549,615.284,1.6398932,3003535589376.0,13.683211,9.078416,73.74,111.14274,5.0,0.5,1783641600.0,0.0678,0.64,10:1,1.016,164000006144.0,1125360000.0,0.925
2026-09-09T00:32:44.676828,CHOLAFIN.NS,Cholamandalam Investment and Finance Company Limited,Credit Services,Financial Services,NSE,https://www.cholamandalam.com,Chennai,600032,1557303918592.0,1788860699.0,1823.4,1834.0,1834.0,1810.0,1040902.0,1848.2,-24.799927,-1.3418422,1299.4,1952.5,1952.5,4.2,1833.262,-9.861938,-0.0053794486,1675.3936,148.00647,0.08834132,524.0,0.40326303,-129.09998,-0.06612035,1299.4 - 1952.5,1508181.0,989172.0,1508181.0,433133095.0,854065996.0,854065996.0,0.51972,0.38537,100159102976.0,117.553,2117722046464.0,141829603328.0,167.431,,,141732806656.0,0.437,0.346,0.99932,0.0,0.56586,0.40549,357.477,5.100748,3571167526912.0,26.957422,18.571352,67.64,98.18349,2.0,0.11,1784592000.0,0.0296,0.2,5:1,25.179,57509998592.0,1560470400.0,0.473
2026-09-09T00:32:44.676828,HINDCOPPER.NS,Hindustan Copper Limited,Copper,Basic Materials,NSE,https://www.hindustancopper.com,Kolkata,700019,515278700544.0,1788861602.0,532.85,520.0,537.0,520.0,24873384.0,509.1,23.74997,4.6650896,241.96,760.05,760.05,18.25,514.292,18.557983,0.03608453,522.40375,10.446228,0.019996464,290.88995,1.2022233,-227.20001,-0.29892772,241.96 - 760.05,8266953.0,17966345.0,8266953.0,327607295.0,967024020.0,967024020.0,0.60141,0.07326,8096500224.0,8.364,1109200000.0,34980499456.0,36.158,,,31860400128.0,1.619,0.814,0.91080004,0.50195,0.48891997,0.32494,34.53,15.431509,508837953536.0,45.31037,25.741543,11.76,20.7,4.32,0.85,1789516800.0,0.2094,0.5,,14.546,11366599680.0,,1.512
2026-09-09T00:32:44.676828,SCHNEIDER.NS,Schneider Electric Infrastructure Limited,Electrical Equipment & Parts,Industrials,NSE,https://infra-in.se.com,Gurugram,122002,294026215424.0,1788861589.0,1229.7,1193.6,1235.3,1186.4,180526.0,1193.6,36.099976,3.0244617,571.85,1548.0,1548.0,54.5,1322.406,-92.706055,-0.07010408,1043.9222,185.77771,0.17796126,657.85,1.1503891,-318.30005,-0.20562018,571.85 - 1548.0,474050.0,294109.0,474050.0,52862823.0,239104035.0,239104035.0,0.76943,0.06215,3578500096.0,14.958,5482500096.0,29203599360.0,122.208,,,10599799808.0,-0.698,0.048,0.36296,0.115380004,0.03873,0.06292,32.429,37.91976,296086077440.0,160.95549,51.45188,7.64,23.9,,,1342656000.0,0.0,,,10.139,1837600000.0,,0.435
2026-09-09T00:32:44.676828,ELGIEQUIP.NS,Elgi Equipments Limited,Specialty Industrial Machinery,Industrials,NSE,https://www.elgi.com,Coimbatore,641005,201187115008.0,1788861593.0,638.2,644.9,645.5,635.1,286400.0,642.4,-4.200012,-0.65380013,408.25,653.4,798.95,3.625,596.886,41.314026,0.06921594,534.3605,103.83954,0.19432488,229.95001,0.5632578,-15.200012,-0.02326295,408.25 - 653.4,503838.0,560262.0,503838.0,189239459.0,315241478.0,315241478.0,0.45028,0.19892,8865000448.0,28.121,5330999808.0,41462001664.0,131.63,,,20651999232.0,0.211,0.226,0.49808997,0.14029,0.12295,0.10803001,70.8,9.014124,197653118976.0,44.943665,34.874317,14.2,18.3,2.7,0.42,1784246400.0,0.1551,0.34,2:1,4.767,4479000064.0,1600905600.0,0.104
